"{""id"": ""5e5c21aee0c333e0518de957"""," ""raw_tweet"": ""It is a very sad thing that nowadays there is so little useless informa... #Sad #Useless  #SundayFunday    https://t.co/wTEvgXQEgU"""," ""processed_tweet"": ""a  useles htps nowadays co informa sundayfunday    litle very that so t sad useles thing sad is wtevgxqegu there it"""," ""label"": ""pleasant""}",,
"{""id"": ""5e5c21d9e0c333e0518de959"""," ""raw_tweet"": ""@WTP_BDiehards @deafgeoff it   s #amazing that @tb12. wants nothing to do with that #facetime call. lol ????    https://t.co/qOrYdGwToR"""," ""processed_tweet"": "" bdiehards htps facetime co that tb12 t nothing lol ????    cal do amazing it   s with wtp to wants deafgeof qorydgwtor"""," ""label"": ""surprise""}",,
"{""id"": ""5e5c21dee0c333e0518de95b"""," ""raw_tweet"": ""DF SPECIAL WEBHEAD WEEKEND TRIPLE TRIFECTA! #Amazing SPIDER-MAN 1 SPIDER-GWEN 1 SILK #1 #Exclusive ULTRA LIMITED MA    https://t.co/QPI2YJg8BQ"""," ""processed_tweet"": "" ultra htps webhead co amazing 1 t special silk wekend trifecta gwen df man triple limited ma    exclusive qpi2yjg8bq spider"""," ""label"": ""surprise""}",,
"{""id"": ""5e5c21e8e0c333e0518de95d"""," ""raw_tweet"": ""RT @IesoHealth: Feeling a touch of the blues? You're not alone! When #autumn turns to #winter  many of us might feel like going into hibern   """," ""processed_tweet"": "" a the touch like when might turns of going into you're autumn blues alone feling us fel hibern    to iesohealth many not rt winter"," ""label"": ""pleasant""}",,
"{""id"": ""5e5c21f3e0c333e0518de95f"""," ""raw_tweet"": ""@RaidersBeat it   s #amazing that @tb12. wants nothing to do with that #facetime call. lol ???? #allblackeverything    https://t.co/MVBfI2Or5G"""," ""processed_tweet"": "" that alblackeverything    htps to do facetime amazing tb12 wants t co nothing lol it   s raidersbeat cal with mvbfi2or5g"""," ""label"": ""pleasant""}",,
"{""id"": ""5e5c21ffe0c333e0518de961"""," ""raw_tweet"": ""@Daniell37166665 @3YearLetterman @realDonaldTrump The epitaph writes itself Danielle died not from the virus she ca    https://t.co/dOEpYIjTMf"""," ""processed_tweet"": "" daniel37166665 died htps the writes she from 3yearleterman daniele t co the epitaph virus not realdonaldtrump itself ca    doepyijtmf"""," ""label"": ""pleasant""}",,
"{""id"": ""5e5c2208e0c333e0518de963"""," ""raw_tweet"": ""Just watched #LockeAndKey  on #Netflix and seriously it's #Amazing https://t.co/HzEv1J81BB"""," ""processed_tweet"": "" just htps lockeandkey on and t co seriously netflix watched it's hzev1j81b amazing"""," ""label"": ""surprise""}",,
"{""id"": ""5e5c2216e0c333e0518de965"""," ""raw_tweet"": ""RT @TripsTricks: Arp??ge - Paris ????\nWho knew #grilled #vegetables could look so #Amazing\n\n#Lima #Peru #foodblogger #LuxuryTravel #bestrestaur   """," ""processed_tweet"": "" fodbloger tripstricks bestrestaur    could luxurytravel paris so lok lima peru knew vegetables amazing\n\n rt arp??ge ????\nwho griled"""," ""label"": ""angry""}",,
"{""id"": ""5e5c2223e0c333e0518de967"""," ""raw_tweet"": ""@tburages @tedlieu @realDonaldTrump And you are easily deceived.  #Sad"""," ""processed_tweet"": "" tedlieu easily are tburages sad deceived and realdonaldtrump you"""," ""label"": ""surprise""}",,
"{""id"": ""5e5c2227e0c333e0518de969"""," ""raw_tweet"": ""It's : 2020-03-01T20:59:13.0906711Z \n\n#tuesdaymotivation #funny #pets #followme #f4f #c4c #shout #love #me #cute    https://t.co/9GqMD9HGAp"""," ""processed_tweet"": "" folowme htps 01t20 c4c co pets shout 13 cute    2020 \n\n 59 me t 9gqmd9hgap tuesdaymotivation funy love 03 f4f it's 0906711z"""," ""label"": ""angry""}",,
